domain_id,level,title,source_file,question_count,canonical_top,canonical_sub
riya-cv-i,middle,Riya Cv I,Riya CV.zip/Riya_CV_I.tex,3,Uncategorized,Uncategorized
riya-cv-ii,middle,Riya Cv Ii,Riya CV.zip/Riya_CV_II.tex,3,Uncategorized,Uncategorized
riya-cv-iii,middle,Riya Cv Iii,Riya CV.zip/Riya_CV_III.tex,3,Uncategorized,Uncategorized
riya-cv-iv,middle,Riya Cv Iv,Riya CV.zip/Riya_CV_IV.tex,3,Uncategorized,Uncategorized
july,middle,July,Sitting Plan.zip/July.tex,3,Uncategorized,Uncategorized
august,middle,August,Sitting Plan.zip/August.tex,3,Uncategorized,Uncategorized
september,middle,September,Sitting Plan.zip/September.tex,3,Uncategorized,Uncategorized
october,middle,October,Sitting Plan.zip/October.tex,3,Uncategorized,Uncategorized
april,middle,April,Sitting Plan.zip/April.tex,3,Uncategorized,Uncategorized
p-1,middle,P 1,Aptitude.zip/P_1.tex,3,Uncategorized,Uncategorized
p-2,middle,P 2,Aptitude.zip/P_2.tex,3,Uncategorized,Uncategorized
p-3,middle,P 3,Aptitude.zip/P_3.tex,3,Uncategorized,Uncategorized
p-4,middle,P 4,Aptitude.zip/P_4.tex,3,Uncategorized,Uncategorized
percentage,middle,Percentage,Aptitude.zip/Percentage.tex,3,Number Sense & Arithmetic,Percentages
time-and-work,middle,Time And Work,Aptitude.zip/Time_and_Work.tex,3,Number Sense & Arithmetic,Time & Work
interest,middle,Interest,Aptitude.zip/Interest.tex,3,Number Sense & Arithmetic,Simple & Compound Interest
proportion,middle,Proportion,Aptitude.zip/Proportion.tex,3,Number Sense & Arithmetic,Ratio & Proportion
boat,middle,Boat,Aptitude.zip/Boat.tex,3,Uncategorized,Uncategorized
number-system,middle,Number System,Aptitude.zip/Number_System.tex,3,Uncategorized,Uncategorized
p-5,middle,P 5,Aptitude.zip/P_5.tex,3,Uncategorized,Uncategorized
p-6,middle,P 6,Aptitude.zip/P_6.tex,3,Uncategorized,Uncategorized
p-7,middle,P 7,Aptitude.zip/P_7.tex,3,Uncategorized,Uncategorized
p-8,middle,P 8,Aptitude.zip/P_8.tex,3,Uncategorized,Uncategorized
p-9,middle,P 9,Aptitude.zip/P_9.tex,3,Uncategorized,Uncategorized
p-10,middle,P 10,Aptitude.zip/P_10.tex,3,Uncategorized,Uncategorized
p-11,middle,P 11,Aptitude.zip/P_11.tex,3,Uncategorized,Uncategorized
p-12,middle,P 12,Aptitude.zip/P_12.tex,3,Uncategorized,Uncategorized
p-13,middle,P 13,Aptitude.zip/P_13.tex,3,Uncategorized,Uncategorized
