level,domain_id,title,source_file,question_count
middle,riya-cv-i,Riya Cv I,Riya CV.zip/Riya_CV_I.tex,3
middle,riya-cv-ii,Riya Cv Ii,Riya CV.zip/Riya_CV_II.tex,3
middle,riya-cv-iii,Riya Cv Iii,Riya CV.zip/Riya_CV_III.tex,3
middle,riya-cv-iv,Riya Cv Iv,Riya CV.zip/Riya_CV_IV.tex,3
middle,july,July,Sitting Plan.zip/July.tex,3
middle,august,August,Sitting Plan.zip/August.tex,3
middle,september,September,Sitting Plan.zip/September.tex,3
middle,october,October,Sitting Plan.zip/October.tex,3
middle,april,April,Sitting Plan.zip/April.tex,3
middle,p-1,P 1,Aptitude.zip/P_1.tex,3
middle,p-2,P 2,Aptitude.zip/P_2.tex,3
middle,p-3,P 3,Aptitude.zip/P_3.tex,3
middle,p-4,P 4,Aptitude.zip/P_4.tex,3
middle,percentage,Percentage,Aptitude.zip/Percentage.tex,3
middle,time-and-work,Time And Work,Aptitude.zip/Time_and_Work.tex,3
middle,interest,Interest,Aptitude.zip/Interest.tex,3
middle,proportion,Proportion,Aptitude.zip/Proportion.tex,3
middle,boat,Boat,Aptitude.zip/Boat.tex,3
middle,number-system,Number System,Aptitude.zip/Number_System.tex,3
middle,p-5,P 5,Aptitude.zip/P_5.tex,3
middle,p-6,P 6,Aptitude.zip/P_6.tex,3
middle,p-7,P 7,Aptitude.zip/P_7.tex,3
middle,p-8,P 8,Aptitude.zip/P_8.tex,3
middle,p-9,P 9,Aptitude.zip/P_9.tex,3
middle,p-10,P 10,Aptitude.zip/P_10.tex,3
middle,p-11,P 11,Aptitude.zip/P_11.tex,3
middle,p-12,P 12,Aptitude.zip/P_12.tex,3
middle,p-13,P 13,Aptitude.zip/P_13.tex,3
middle,p-14,P 14,Aptitude.zip/P_14.tex,3
middle,p-15,P 15,Aptitude.zip/P_15.tex,3
middle,main,Main,X Pansy Details List.zip/main.tex,3
middle,short-detail-list,Short Detail List,X Pansy Details List.zip/Short Detail List.tex,3
middle,students-collection-form,Students Collection Form,X Pansy Details List.zip/Students Collection Form.tex,3
middle,accountability-form,Accountability Form,X Pansy Details List.zip/Accountability Form.tex,3
middle,leave-application-format,Leave Application Format,X Pansy Details List.zip/Leave Application Format.tex,3
middle,x-pansy-result-session-2024-25,X Pansy Result Session 2024 25,X Pansy Details List.zip/X Pansy Result Session 2024-25.tex,3
middle,long-detail-list,Long Detail List,X Pansy Details List.zip/Long Detail List.tex,3
middle,apaar,Apaar,X Pansy Details List.zip/APAAR.tex,3
middle,frontpage,Frontpage,Class 10 Module 1.zip/frontpage.tex,3
middle,ap1,Ap1,Class 10 Module 1.zip/AP1.tex,3
middle,ap2,Ap2,Class 10 Module 1.zip/AP2.tex,3
middle,consistency,Consistency,Class 10 Module 1.zip/Consistency.tex,3
middle,elimination,Elimination,Class 10 Module 1.zip/Elimination.tex,3
middle,factorisation,Factorisation,Class 10 Module 1.zip/Factorisation.tex,3
middle,fractions1,Fractions1,Class 10 Module 1.zip/fractions1.tex,3
middle,fractions2,Fractions2,Class 10 Module 1.zip/fractions2.tex,3
middle,fta,Fta,Class 10 Module 1.zip/FTA.tex,3
middle,graph1,Graph1,Class 10 Module 1.zip/Graph1.tex,3
middle,graph2,Graph2,Class 10 Module 1.zip/Graph2.tex,3
middle,graph3,Graph3,Class 10 Module 1.zip/Graph3.tex,3
middle,graph4,Graph4,Class 10 Module 1.zip/Graph4.tex,3
middle,graph5,Graph5,Class 10 Module 1.zip/Graph5.tex,3
middle,hcflcm,Hcflcm,Class 10 Module 1.zip/HCFLCM.tex,3
middle,hcflcmstatement,Hcflcmstatement,Class 10 Module 1.zip/HCFLCMStatement.tex,3
middle,integers,Integers,Class 10 Module 1.zip/Integers.tex,3
middle,irrational1,Irrational1,Class 10 Module 1.zip/irrational1.tex,3
middle,irrational2,Irrational2,Class 10 Module 1.zip/irrational2.tex,3
middle,middle,Middle,Class 10 Module 1.zip/Middle.tex,3
middle,middletwo,Middletwo,Class 10 Module 1.zip/middletwo.tex,3
middle,nth,Nth,Class 10 Module 1.zip/nth.tex,3
middle,pattern,Pattern,Class 10 Module 1.zip/Pattern.tex,3
middle,seive,Seive,Class 10 Module 1.zip/Seive.tex,3
middle,sn,Sn,Class 10 Module 1.zip/Sn.tex,3
middle,statement2,Statement2,Class 10 Module 1.zip/Statement2.tex,3
middle,statement3,Statement3,Class 10 Module 1.zip/Statement3.tex,3
middle,statements,Statements,Class 10 Module 1.zip/Statements.tex,3
middle,substitution,Substitution,Class 10 Module 1.zip/Substitution.tex,3
middle,surds,Surds,Class 10 Module 1.zip/Surds.tex,3
middle,tree,Tree,Class 10 Module 1.zip/tree.tex,3
middle,zeroes,Zeroes,Class 10 Module 1.zip/Zeroes.tex,3
middle,asa,Asa,Lesson Plan.zip/ASA.tex,3
middle,sss,Sss,Lesson Plan.zip/SSS.tex,3
middle,sas,Sas,Lesson Plan.zip/SAS.tex,3
middle,rhs,Rhs,Lesson Plan.zip/RHS.tex,3
middle,aas,Aas,Lesson Plan.zip/AAS.tex,3
middle,trigonometry-2,Trigonometry 2,Lesson Plan.zip/Trigonometry_2.tex,3
middle,trigonometry-1,Trigonometry 1,Lesson Plan.zip/Trigonometry_1.tex,3
middle,irrationals-2,Irrationals 2,Lesson Plan.zip/Irrationals_2.tex,3
middle,irrationals-1,Irrationals 1,Lesson Plan.zip/Irrationals_1.tex,3
middle,statistics-1,Statistics 1,Class 11.zip/Statistics_1.tex,3
middle,statistics-2,Statistics 2,Class 11.zip/Statistics_2.tex,3
middle,final-exam,Final Exam,Class 11.zip/Final Exam.tex,3
middle,test-1,Test 1,Standard class 10 Final Prep.zip/Test_1.tex,3
middle,acid-bases-and-salts-test,Acid Bases And Salts Test,Science.zip/Acid Bases and Salts Test.tex,3
middle,light,Light,Science.zip/Light.tex,3
middle,nayan-notes,Nayan Notes,Science.zip/Nayan_Notes.tex,3
middle,nayan-mcqs,Nayan Mcqs,Science.zip/Nayan_MCQs.tex,3
middle,pyqs,Pyqs,Science.zip/PYQs.tex,3
middle,pyqs-1,Pyqs 1,Science.zip/PYQs_1.tex,3
middle,w1,W1,Class 10 Surface Area and Volume.zip/W1.tex,3
middle,w1-answers,W1 Answers,Class 10 Surface Area and Volume.zip/W1_Answers.tex,3
middle,w2,W2,Class 10 Surface Area and Volume.zip/W2.tex,3
middle,w2-answers,W2 Answers,Class 10 Surface Area and Volume.zip/W2_Answers.tex,3
middle,w3,W3,Class 10 Surface Area and Volume.zip/W3.tex,3
middle,w3-answers,W3 Answers,Class 10 Surface Area and Volume.zip/W3_Answers.tex,3
middle,test,Test,Class 10 Surface Area and Volume.zip/Test.tex,3
middle,test-2,Test 2,Class 10 Surface Area and Volume.zip/Test_2.tex,3
middle,w4,W4,Class 10 Surface Area and Volume.zip/W4.tex,3
middle,w5,W5,Class 10 Surface Area and Volume.zip/W5.tex,3
middle,w6,W6,Class 10 Surface Area and Volume.zip/W6.tex,3
middle,w7,W7,Class 10 Surface Area and Volume.zip/W7.tex,3
middle,w8,W8,Class 10 Surface Area and Volume.zip/W8.tex,3
middle,w9,W9,Class 10 Surface Area and Volume.zip/W9.tex,3
middle,scaling-2,Scaling 2,Statistics.zip/Scaling_2.tex,3
middle,scaling-1,Scaling 1,Statistics.zip/Scaling_1.tex,3
middle,histogram-1,Histogram 1,Statistics.zip/Histogram_1.tex,3
middle,histogram-2,Histogram 2,Statistics.zip/Histogram_2.tex,3
middle,w5-answers,W5 Answers,Class 10 Arithmetic Progression.zip/W5_Answers.tex,3
middle,w10,W10,Class 10 Arithmetic Progression.zip/W10.tex,3
middle,w11,W11,Class 10 Chapterwise.zip/W11.tex,3
middle,w12,W12,Class 10 Chapterwise.zip/W12.tex,3
middle,w13,W13,Class 10 Chapterwise.zip/W13.tex,3
middle,w14,W14,Class 10 Chapterwise.zip/W14.tex,3
middle,front,Front,Class 10 Chapterwise.zip/front.tex,3
middle,index,Index,Class 10 Chapterwise.zip/index.tex,3
middle,perimeter,Perimeter,Class 6.zip/Perimeter.tex,3
middle,perimeter-2,Perimeter 2,Class 6.zip/Perimeter_2.tex,3
middle,perimeter-and-area-worksheet,Perimeter And Area Worksheet,Class 6.zip/Perimeter and Area Worksheet.tex,3
middle,fractions-worksheet,Fractions Worksheet,Class 6.zip/Fractions Worksheet.tex,3
middle,construction-worksheet,Construction Worksheet,Class 6.zip/Construction Worksheet.tex,3
middle,flt,Flt,Class 6.zip/FLT.tex,3
middle,symmetry,Symmetry,Class 6.zip/Symmetry.tex,3
middle,symmetry-2,Symmetry 2,Class 6.zip/Symmetry_2.tex,3
middle,symmetry-3,Symmetry 3,Class 6.zip/Symmetry_3.tex,3
middle,answer-key,Answer Key,Trigonometry Worksheet.zip/Answer Key.tex,3
middle,trigonometry-worksheet,Trigonometry Worksheet,Trigonometry Worksheet.zip/Trigonometry Worksheet.tex,3
middle,p-3-ans,P 3 Ans,Basics.zip/P_3_Ans.tex,3
middle,number-system-w1,Number System W1,Class 9.zip/Number System W1.tex,3
middle,fraction-to-decimal-conversion-worksheet,Fraction To Decimal Conversion Worksheet,Class 9.zip/Fraction to Decimal Conversion Worksheet.tex,3
middle,fraction-2-decimals-l2,Fraction 2 Decimals L2,Class 9.zip/Fraction 2 Decimals L2.tex,3
middle,radical-w1,Radical W1,Class 9.zip/Radical W1.tex,3
middle,quadrilaterals,Quadrilaterals,Class 9.zip/Quadrilaterals.tex,3
middle,version1,Version1,Scripts.zip/Version1.tex,3
middle,version2,Version2,Scripts.zip/Version2.tex,3
middle,version3,Version3,Scripts.zip/Version3.tex,3
middle,version4,Version4,Scripts.zip/Version4.tex,3
middle,prize-distribution,Prize Distribution,Scripts.zip/prize_distribution.tex,3
middle,calendar,Calendar,Eco_Club.zip/calendar.tex,3
middle,quiz-competition-1,Quiz Competition 1,Eco_Club.zip/Quiz Competition_1.tex,3
middle,quiz-competition-2,Quiz Competition 2,Eco_Club.zip/Quiz Competition_2.tex,3
middle,members,Members,Eco_Club.zip/Members.tex,3
